,anisotropy,distribution,F_u,a_X,a_U,a_F,b_X,b_U,b_F
0,0.015,Uniform,1e-10,1.8716375925,1.0477260624,1.2106860533,0.4852576659,1.0180727263,1.4864653159
1,0.015,Uniform,1e-09,1.1096702598,0.6876591966,1.0819537201,0.6540271598,1.1496169104,1.5278852224
2,0.015,Uniform,1e-08,0.8466642789,0.79330718,0.7949257406,0.7729342765,1.1864085817,1.6170828817
3,0.015,Gaussian,1e-10,1.6159991817,1.0926464041,1.101559287,0.5214976665,1.0082840785,1.5103425155
4,0.015,Gaussian,1e-09,1.3538743859,0.5224471309,1.05939569,0.6048844178,1.2133476818,1.5332754048
5,0.015,Gaussian,1e-08,1.037619154,0.6743050711,1.2313939173,0.7285211586,1.2175081915,1.5147175345
6,0.02,Uniform,1e-10,1.694221997,1.055177049,1.139537784,0.50476697,1.006183044,1.499134265
7,0.02,Uniform,1e-09,1.147598848,0.758389655,1.011647536,0.617235968,1.0894878,1.541349955
8,0.02,Uniform,1e-08,0.818674354,0.503322006,0.91234273,0.737900491,1.216630405,1.57664434
9,0.02,Gaussian,1e-10,1.914174628,1.06454933,1.08315722,0.484781124,1.004512647,1.515024677
10,0.02,Gaussian,1e-09,1.355514608,0.794229767,1.012885609,0.578291637,1.077358963,1.539077643
11,0.02,Gaussian,1e-08,0.856686492,0.295852209,0.90082494,0.732484014,1.311680939,1.592233655
12,0.025,Uniform,1e-10,1.600486796,1.02122483,1.035381726,0.520119339,1.009656271,1.524426464
13,0.025,Uniform,1e-09,0.934547877,0.877015874,0.999601598,0.647800899,1.047277136,1.539660605
14,0.025,Uniform,1e-08,0.762930328,0.338276698,1.057770726,0.731176033,1.26099209,1.54777393
15,0.025,Gaussian,1e-10,1.561595817,1.023980285,0.919759912,0.527403549,1.009570747,1.548657169
16,0.025,Gaussian,1e-09,1.042082206,0.809299895,0.89354959,0.628397651,1.063191911,1.567097363
17,0.025,Gaussian,1e-08,0.69234718,0.475396623,1.165884686,0.752199418,1.199845661,1.525206812
18,0.03,Uniform,1e-10,2.220311331,0.986952793,1.122266985,0.45960282,1.014465361,1.506607782
19,0.03,Uniform,1e-09,1.439286506,0.764692533,0.898317787,0.562334978,1.068805261,1.564620614
20,0.03,Uniform,1e-08,0.570718578,0.312999869,0.943567526,0.77282337,1.256276213,1.565744065
21,0.03,Gaussian,1e-10,2.264423566,0.999098297,1.127970385,0.455118198,1.012095398,1.504896239
22,0.03,Gaussian,1e-09,1.270239905,0.819767071,1.158610052,0.582626862,1.054982119,1.512265104
23,0.03,Gaussian,1e-08,0.72576202,0.379866849,0.887913209,0.730845653,1.221204125,1.578377152
24,0.015,Uniform,0.001,1.856855723,1.161763412,1.103272941,0.474216569,0.986612371,1.503133346
25,0.015,Uniform,0.01,1.537458109,0.985516532,1.145468584,0.537279991,1.035262428,1.500753855
26,0.015,Uniform,0.1,1.360062273,0.525462326,1.100857858,0.610992413,1.219253417,1.525579544
27,0.015,Gaussian,0.001,1.813991096,1.1630580409,1.0969561507,0.4732992987,0.9851983688,1.5025558613
28,0.015,Gaussian,0.01,1.8439227113,1.002969097,1.2516870284,0.4907533895,1.0313046778,1.4774939526
29,0.015,Gaussian,0.1,1.2017970121,0.5097006497,1.1173582677,0.6428603358,1.2293632346,1.5234136523
30,0.02,Uniform,0.001,1.658715498,1.144049585,1.052645245,0.501765037,0.985709628,1.512470369
31,0.02,Uniform,0.01,1.810213924,1.025269329,0.983999896,0.494577836,1.012873773,1.537627323
32,0.02,Uniform,0.1,1.121328285,0.767463363,0.999573092,0.627567545,1.085134462,1.545706775
33,0.02,Gaussian,0.001,1.661414213,1.140871457,1.126733976,0.496914374,0.985810968,1.4951021
34,0.02,Gaussian,0.01,1.725472077,1.025885276,1.015225007,0.508444204,1.012799783,1.53148214
35,0.02,Gaussian,0.1,1.423057417,0.791362271,1.21808323,0.575023558,1.083258793,1.500797073
36,0.025,Uniform,0.01,1.491274569,1.021830097,1.100900296,0.533612034,1.010583995,1.511303571
37,0.025,Uniform,0.1,1.11206753,0.758498344,1.214807431,0.615450973,1.079299486,1.498855541
38,0.025,Uniform,1.0,0.71577055,0.281704496,0.780457594,0.751777782,1.300847631,1.611325583
39,0.025,Gaussian,0.01,1.445685782,1.005237845,0.907080342,0.542261761,1.013787247,1.554503188
40,0.025,Gaussian,0.1,1.126089934,0.783946941,1.110692687,0.615770297,1.070011166,1.522968715
41,0.025,Gaussian,1.0,0.679237259,0.545347122,0.74635046,0.763123445,1.180517019,1.621525568
42,0.03,Uniform,0.01,2.021821012,0.999702751,1.017635776,0.477235746,1.012129437,1.527616235
43,0.03,Uniform,0.1,1.265571582,0.767442125,0.831570684,0.584567157,1.068238379,1.576215447
44,0.03,Uniform,1.0,0.930123308,0.269749166,1.307540321,0.687494669,1.287348484,1.504366956
45,0.03,Gaussian,0.01,2.24250837,0.994308942,1.107155978,0.459459837,1.013094937,1.511441658
46,0.03,Gaussian,0.1,1.265114721,0.784266224,1.236031898,0.588078664,1.065152574,1.499868539
47,0.03,Gaussian,1.0,0.78230714,0.192873193,1.324279541,0.720286827,1.341762844,1.504530877
